condition,message
000000101010000,0000100100
000000101010000,0001010100
001000011110000,0010010110
001000100000101,0010000000
000000100100001,0001000111
000000100100000,0001010110
000000100100000,0001000101
000000100100001,0001100001
000000100100000,0001011001
001000100110000,0011000001
001000100010000,0100101010
000100011110000,0011110100
000000100110000,0001011110
000000100010000,0001000010
000000100010000,0001001001
000000011100100,0001000110
001000011110111,0010011011
001000100000000,0010011010
000000100010000,0001000010
000000011110010,0001000111
000000100010000,0000111111
000000100000000,0001000001
000000100100000,0001100000
001000100001001,0010011001
001000100010000,0010110001
000000011011101,0001000011
000000100001111,0001001100
000000100000110,0001000001
000000100000010,0000111000
000000100010000,0000111011
001000011011111,0001100100
001000011100010,0010001001
000000011110001,0001000001
000000100000110,0001100100
000000100010001,0001011001
000000100000000,0001101001
000000100000000,0001111110
001010011100011,0010111101
001010100001111,0010101000
000010011110000,0011000101
000010100110000,0001001110
000010010111101,0001011111
000010011101111,0001011110
000010100000000,0001110100
001010011100010,0011001100
001010011100000,0011001101
000010011000000,0001101010
000010011010010,0001100100
000010100010011,0001101110
000010011010101,0001001001
000010011101000,0001100111
001010011010000,0010110101
001010011110000,0010011111
000000100010000,0001000111
000000100110000,0000111001
000000100000000,0001100000
000000100001111,0001000000
000000100000010,0001100010
001000100000011,0010100011
001000100010000,0011011111
000000100010000,0001010111
000000100010000,0001000100
000000100010011,0001001011
000000100000000,0001100000
000000011011111,0001000011
001000011100010,0010001111
001000011110000,0010110111
000000011110000,0000111100
000000100010000,0001011110
000000100000000,0001001011
000000100010000,0000111110
000000100100000,0001010111
001000100100000,0010011011
001000011110000,0011000011
000000011010000,0001001001
000000011100000,0001011010
000000011100000,0001010010
000000100000000,0001100110
000000101000000,0001100110
001000011100000,0010111110
001000100000010,0010111011
000000011110000,0001001001
000000011110000,0001000100
000000011110000,0001001101
000000100110000,0001010110
000000101010000,0010110000
001000100100000,0001110000
001000100000000,0011110101
000000100110000,0001001110
000000100110000,0001001001
000000101100000,0001001010
000000110000000,0001011101
000000110010000,0001001110
001000110010000,0010010011
001000101110000,0011001010
000000100000111,0001001101
000000100000110,0001001000
000000011110000,0001000111
000000100000101,0001101001
000000100110000,0001001101
001000101010000,0010111001
001000101110000,0010110010
000000110010000,0001011110
000000101010101,0001001111
000000100100001,0001101001
000000100100001,0001101001
000000100100000,0001100111
001000101100000,0011010110
001000110110000,0011000100
000000100100000,0001110001
000000100100000,0001101000
000000100010010,0001110010
000000011110000,0001101001
000000100110010,0001011111
001000101110000,0011000101
001000110000000,0011100101
000000110110000,0001110101
000000110110000,0010001001
000000101110001,0010000111
000000100010000,0010000110
000000101100001,0010101010
001010111110000,0010100100
001010111100000,0011110010
000010101100000,0010110000
000010101010000,0010010100
000010100110001,0011010000
000010101000000,0011000011
000010110110000,0010111100
001011000000000,0011111010
001010111010000,0011110100
000110111010000,0011111000
000010100110000,0010011010
000010101010000,0010101101
100010111010000,0011000011
100011000000000,0010111011
101010101100000,0011111001
101010101100000,0101011101
100000100010000,0010111001
100000100010000,0001101101
100000100100000,0001111110
100000100110000,0010001110
100000111000000,0011011000
101001000010000,0111001100
101001000010000,0111100001
100001000010000,0010101000
100001001010000,0001111110
100001000000000,0010110101
100000110000000,0011011100
100001000010000,0011011110
101000110100000,1000110101
101000111010000,1000100111
100000101000100,0011000110
100000101100000,0011100000
100000110010000,0010001111
100000111000000,0010100111
100001000110000,0011010000
101000100100010,0111010010
101000101000000,1011010100
100000111010000,0011011100
100000101110000,0010111110
100000101010000,0011100011
100000111010000,0010110010
100001001010000,0001101110
101000101100000,0111010111
101000101110001,1100000101
100000110110000,0011111111
100000111000000,0011000000
100001000110000,0010101000
000001001110000,0001100010
100000110000000,0100001111
101000110010000,1000001000
101000101010110,1001111100
100000101110000,0010111001
100000110000000,0011100100
100001000010000,0010001011
100000110000000,0010001111
100000110110111,0011010101
101000110000010,0100010110
101000111000111,1001101101
100000101110000,0100010101
100000101100000,0011101101
100000110100000,0100000101
100000111010000,0100000111
100001000000000,0101100000
101001001000000,1000000000
101000111110000,1000011010
110000110010000,0011100100
110000111010000,0011001101
110001000010000,0011001101
110000110010000,0010110010
110000110010000,0100000000
111000110000000,1010001101
111000110010000,1000111111
110000111100000,0100000000
110001000000000,0010101010
110000101110000,0011001101
110000110100011,0011101010
110000111110000,0100010000
111011001000000,0111011101
111010111010000,1000011100
110010111010000,0100010101
110010110000000,0101101001
110010110000000,0101111000
110010110000000,0101010001
110010110000000,0110010010
111010111100000,1001000110
111011001000000,1001100100
110010110100000,0111110111
110010110000010,1010011111
110010110000000,1000011101
100110101110000,0110111000
101010110100000,1010101001
101010111100000,1011111110
100010101110001,1010100010
