1.190251238:[5, 1],
1.190452227:[5, 1],
1.1906528:[5, 1],
1.19085582:[5, 1],
1.191059204:[5, 1],
1.1912628490000001:[5, 1],
1.191464673:[5, 1],
1.191665088:[5, 1],
1.191865714:[5, 1],
1.192065975:[5, 1],
1.19226983:[5, 1],
1.192473372:[5, 1],
1.192673528:[5, 1],
1.192873528:[5, 1],
1.193109883:[5, 1],
1.193313788:[5, 1],
1.193515455:[5, 1],
1.193715873:[5, 1],
1.19391655:[5, 1],
1.194120352:[5, 1],
1.194321863:[5, 1],
1.194525458:[5, 1],
1.194728323:[5, 1],
1.194928582:[5, 1],
1.195129884:[5, 1],
1.195331603:[5, 1],
1.195532593:[5, 1],
1.1957364990000001:[5, 1],
1.1959391560000001:[5, 1],
1.196141499:[5, 1],
1.196342021:[5, 1],
1.196545407:[5, 1],
1.196749157:[5, 1],
1.196953168:[5, 1],
1.197155354:[5, 1],
1.197355823:[5, 1],
1.197559572:[5, 1],
1.197760039:[5, 1],
1.197961185:[5, 1],
1.198161341:[5, 1],
1.198362123:[5, 1],
1.198562383:[5, 1],
1.198764154:[5, 1],
1.198964623:[5, 1],
1.199165872:[5, 1],
1.199366184:[5, 1],
1.199567799:[5, 1],
1.199771757:[5, 1],
1.199971965:[5, 1],
1.200172174:[5, 1],
1.200376133:[5, 1],
1.200578528:[5, 1],
1.200778841:[5, 1],
1.200978894:[5, 1],
1.201186185:[5, 1],
1.201387955:[5, 1],
1.201588164:[5, 1],
1.20179108:[5, 1],
1.201994882:[5, 1],
1.202196496:[5, 1],
1.202400351:[5, 1],
1.202601131:[5, 1],
1.202801288:[5, 1],
1.203002174:[5, 1],
1.203205975:[5, 1],
1.203406965:[5, 1],
1.203610924:[5, 1],
1.203812434:[5, 1],
1.204016445:[5, 1],
1.204217747:[5, 1],
1.204417851:[5, 1],
1.204619778:[5, 1],
1.2048204550000001:[5, 1],
1.205026654:[5, 1],
1.205230509:[5, 1],
1.205430613:[5, 1],
1.205634051:[5, 1],
1.205836811:[5, 1],
1.206040404:[5, 3],
1.206433998:[5, 3],
1.206637437:[5, 3],
1.206839571:[5, 3],
1.207042592:[5, 3],
1.207246031:[5, 3],
1.207449988:[5, 3],
1.2076503:[5, 3],
1.2078503010000001:[5, 3],
1.208052385:[5, 3],
1.208252542:[5, 3],
1.208456396:[5, 3],
1.208660146:[5, 3],
1.20886348:[5, 3],
1.209066709:[5, 3],
1.209267231:[5, 3],
1.209467856:[5, 3],
1.209668898:[5, 3],
1.209872284:[5, 3],
1.210073535:[5, 3],
1.210277285:[5, 3],
1.210478118:[5, 3],
1.210682075:[5, 3],
1.2108830130000001:[5, 3],
1.211084159:[5, 3],
1.211284992:[5, 3],
1.211485826:[5, 3],
1.211687233:[5, 3],
1.211887962:[5, 3],
1.212091765:[5, 3],
1.212295879:[5, 3],
1.212499421:[5, 3],
1.212703328:[5, 3],
1.212905411:[5, 3],
1.213107025:[5, 3],
1.213310983:[5, 3],
1.213514681:[5, 3],
1.213715514:[5, 3],
1.2139193160000001:[5, -1],
1.21412192:[5, -1],
1.214323013:[5, -1],
1.214526242:[5, -1],
1.214727596:[5, -1],
1.214929575:[5, -1],
1.215130668:[5, -1],
1.215333793:[5, -1],
1.215534991:[5, -1],
1.215735668:[5, -1],
1.215937282:[5, -1],
1.216138531:[5, -1],
1.216339937:[5, -1],
1.216541604:[5, -1],
1.216743115:[5, -1],
1.21694645:[5, -1],
1.217149158:[5, -1],
1.217352646:[5, -1],
1.217554573:[5, -1],
1.217756084:[5, -1],
1.217957803:[5, -1],
1.218158689:[5, -1],
1.218361866:[5, -4],
1.2185642620000001:[5, -4],
1.218768272:[5, -4],
1.218969887:[5, -4],
1.219172336:[5, -4],
1.21937421:[5, -4],
1.219576918:[5, -4],
1.219778378:[5, -4],
1.219981451:[5, -4],
1.220182648:[5, -4],
1.220385617:[5, -4],
1.220587804:[5, -4],
1.220789888:[5, -4],
1.220993794:[5, -4],
1.22119718:[5, -4],
1.221400304:[5, -4],
1.221603326:[5, -4],
1.221805513:[5, -4],
1.222008066:[5, -4],
1.222210566:[5, -4],
1.222412858:[5, -4],
1.222614421:[5, -4],
1.222816557:[5, -4],
1.223019421:[5, -5],
1.223221609:[5, -5],
1.223423222:[5, -5],
1.223627025:[5, -5],
1.223828586:[5, -5],
1.224031816:[5, -5],
1.224233898:[5, -5],
1.224437024:[5, -5],
1.224638482:[5, -5],
1.224842441:[5, -5],
1.225044056:[5, -5],
1.225245828:[5, -5],
1.225447756:[5, -5],
1.22564911:[5, -5],
1.225850099:[5, -5],
1.226051662:[5, -5],
1.2263572360000001:[5, -5],
1.226560986:[5, -5],
1.226763903:[5, -5],
1.226966558:[5, -5],
1.227168485:[5, -5],
1.227369423:[5, -5],
1.227570413:[5, -5],
1.227771143:[5, -5],
1.227971508:[5, -5],
1.228174373:[5, -5],
1.228377708:[5, -5],
1.228579738:[5, -5],
1.228781405:[5, -5],
1.228984427:[5, -5],
1.229188229:[5, -5],
1.229391405:[5, -5],
1.229594635:[5, -5],
1.229797134:[5, -5],
1.230000884:[5, -5],
1.230203071:[5, -5],
1.230406144:[5, -5],
1.230607654:[5, -5],
1.2308110380000001:[5, -5],
1.231014893:[5, -5],
1.231217444:[5, -5],
1.231419892:[5, -5],
1.231621819:[5, -5],
1.231824424:[5, -5],
1.232026664:[5, -5],
1.23222932:[5, -5],
1.232433226:[5, -5],
1.232635622:[5, -5],
1.232836611:[5, -5],
1.233039059:[5, -5],
1.233243121:[5, -5],
1.233445049:[5, -5],
1.233648434:[5, -5],
1.233850986:[5, -5],
1.23433359:[5, -5],
1.234561662:[5, -5],
1.234765048:[5, -5],
1.234968902:[5, -5],
1.235169162:[5, -5],
1.235370204:[5, -5],
1.235570724:[5, -5],
1.235773849:[5, -5],
1.235977286:[5, -5],
1.2361813480000001:[5, -5],
1.236382546:[5, -5],
1.23658541:[5, -5],
1.236841973:[5, -5],
1.237044524:[5, -5],
1.237248326:[5, -5],
1.237450617:[5, -5],
1.237653847:[5, -5],
1.237857493:[5, -5],
1.238061034:[5, -5],
1.238263015:[5, -5],
1.238466036:[5, -5],
1.238668378:[5, -5],
1.238870097:[5, -5],
1.239071868:[5, -5],
1.239273327:[5, -5],
1.239476087:[5, -5],
1.239676295:[5, -5],
1.239879212:[5, -5],
1.240081138:[5, -5],
1.2402833260000001:[5, -5],
1.240483638:[5, -5],
1.240685825:[5, -5],
1.240886034:[5, -5],
1.24108817:[5, -5],
1.241291451:[5, -5],
1.241493899:[5, -5],
1.241694003:[5, -5],
1.241896347:[5, -5],
1.242099421:[5, -5],
1.242302026:[5, -5],
1.242504526:[5, -5],
1.242707026:[5, -5],
1.242908952:[5, -5],
1.243111504:[5, -5],
1.243314108:[5, -5],
1.243516817:[5, -5],
1.243719682:[4, -4],
1.243923536:[4, -4],
1.244125567:[4, -4],
1.24432765:[4, -4],
1.244529368:[4, -4],
1.244736816:[4, -4],
1.24493817:[4, -4],
1.245140567:[4, -4],
1.245342858:[4, -4],
1.24554593:[4, -4],
1.245747389:[4, -4],
1.245949732:[4, -4],
1.246150618:[4, -4],
1.246480306:[4, -4],
1.2466823900000001:[4, -4],
1.246883848:[4, -4],
1.247086505:[4, -4],
1.247288641:[4, -4],
1.2474915580000001:[4, -4],
1.247692548:[4, -4],
1.247894943:[4, -4],
1.248098119:[4, -4],
1.2483006190000001:[4, -4],
1.248500724:[4, -4],
1.248702494:[4, -4],
1.248902754:[4, -4],
1.249105098:[4, -4],
1.249308483:[4, -4],
1.249510775:[4, -4],
1.24971291:[4, -4],
1.249915045:[4, -4],
1.250118066:[4, -4],
1.250320202:[4, -4],
1.250523119:[4, -4],
1.2507259830000002:[4, -4],
1.2509267130000001:[4, -4],
1.2511272340000001:[4, -4],
1.251327339:[4, -4],
1.251529214:[4, -4],
1.2517323390000001:[4, -4],
1.251936298:[4, -4],
1.252138486:[4, -4],
1.252340621:[4, -4],
1.252542652:[4, -4],
1.252760256:[4, -6],
1.252961976:[4, -6],
1.253164632:[4, -6],
1.25336708:[4, -6],
1.2535688:[4, -6],
1.253769632:[4, -6],
1.253971977:[4, -6],
1.254174007:[4, -6],
1.254377549:[4, -6],
1.254579268:[4, -6],
1.254782393:[4, -6],
1.2549838:[4, -6],
1.255186092:[4, -6],
1.255387914:[4, -6],
1.2555911960000001:[4, -6],
1.255795207:[4, -6],
1.255998592:[4, -6],
1.256201924:[4, -6],
1.256404842:[4, -6],
1.256606821:[4, -6],
1.256810154:[4, -6],
1.257011041:[4, -6],
1.257212551:[4, -4],
1.257413436:[4, -4],
1.257613801:[4, -4],
1.257814427:[4, -4],
1.2580173430000001:[4, -4],
1.258220729:[4, -4],
1.258423437:[4, -4],
1.258626198:[4, -4],
1.2588285940000001:[4, -4],
1.2590285940000001:[4, -4],
1.259228698:[4, -4],
1.259431406:[4, -4],
1.25963427:[4, -4],
1.25983651:[4, -4],
1.26003927:[4, -4],
1.260241458:[4, -3],
1.260444426:[4, -3],
1.26064755:[4, -3],
1.260849998:[4, -3],
1.261051873:[4, -3],
1.261255415:[4, -3],
1.261456925:[4, -3],
1.261660937:[4, -3],
1.261862031:[4, -3],
1.262063906:[4, -3],
1.262265937:[4, -3],
1.262468386:[4, -3],
1.262670468:[4, -3],
1.2628721870000001:[4, -3],
1.263075833:[4, -3],
1.263278124:[4, -3],
1.263480468:[4, -3],
1.263682291:[4, -3],
1.263884427:[4, -3],
1.264086146:[4, -3],
1.26428875:[4, -3],
1.264490313:[4, -3],
1.264694219:[4, -3],
1.264895469:[4, -3],
1.26509724:[4, -3],
1.265298021:[4, -3],
1.265500885:[4, -3],
1.265702656:[4, -3],
1.265904844:[4, -3],
1.266105781:[4, -3],
1.266459273:[4, -3],
1.266662033:[4, -3],
1.266862398:[4, -3],
1.267066408:[4, -3],
1.267269169:[4, -3],
1.267472607:[4, -3],
1.267678283:[4, -3],
1.267881668:[4, -3],
1.268083856:[4, -3],
1.268287398:[4, -3],
1.268488179:[4, 1],
1.268739117:[4, 1],
1.26894297:[4, 1],
1.269143178:[4, 1],
1.26934521:[4, 1],
1.269545991:[4, 1],
1.269748231:[4, 1],
1.269952085:[4, 1],
1.270154065:[4, 1],
1.270354534:[4, 1],
1.270556148:[4, 1],
1.270758441:[4, -1],
1.270961096:[4, -1],
1.271164325:[4, -1],
1.271367607:[4, -1],
1.271570471:[4, -1],
1.271773388:[4, -1],
1.2719757839999999:[4, -1],
1.272177033:[4, -1],
1.272380106:[4, -1],
1.272599273:[4, -1],
1.27280016:[4, -1],
1.273003232:[4, -1],
1.273204795:[4, -1],
1.2734073989999999:[4, -1],
1.27361141:[4, -1],
1.273813754:[4, -1],
1.2740157330000002:[4, -1],
1.27421615:[4, -1],
1.274417608:[4, -3],
1.274620578:[4, -3],
1.274822453:[4, -3],
1.275023859:[4, -3],
1.275225318:[4, -3],
1.275426777:[4, -3],
1.27562985:[4, -3],
1.275831411:[4, -3],
1.276032402:[4, -3],
1.276234016:[4, -3],
1.276436047:[4, -3],
1.27663839:[4, -3],
1.276841099:[4, -3],
1.277043391:[4, -3],
1.277246099:[4, -4],
1.277448078:[4, -4],
1.2776507860000001:[4, -4],
1.2778542750000002:[4, -4],
1.278054587:[4, -4],
1.278256253:[4, -4],
1.278459221:[4, -4],
1.278662034:[4, -4],
1.278865054:[4, -4],
1.279067137:[4, -4],
1.279270523:[4, -4],
1.279472345:[4, -4],
1.2796750540000001:[4, -4],
1.2798783870000001:[4, -4],
1.28008224:[4, -6],
1.280284531:[4, -6],
1.280503594:[4, -6],
1.280705574:[4, -6],
1.280907397:[4, -6],
1.281109115:[4, -6],
1.28131125:[4, -6],
1.281512969:[4, -6],
1.281716666:[4, -6],
1.281918594:[4, -6],
1.282121979:[4, -6],
1.282324167:[4, -6],
1.2825272920000002:[4, -7],
1.282730939:[4, -7],
1.282933387:[4, -7],
1.283135106:[4, -7],
1.283337345:[4, -7],
1.283539324:[4, -7],
1.283741823:[4, -7],
1.283943386:[4, -7],
1.284145729:[4, -7],
1.284348177:[4, -7],
1.284551459:[4, -7],
1.284753855:[4, -7],
1.284955261:[4, -7],
1.285156041:[4, -8],
1.285357864:[4, -8],
1.285558854:[4, -8],
1.285759948:[4, -8],
1.285962031:[4, -8],
1.286274218:[4, -8],
1.286476302:[4, -8],
1.2866797380000001:[4, -8],
1.286880676:[4, -8],
1.2870835409999999:[4, -8],
1.287286353:[4, -8],
1.287489686:[4, -8],
1.287692498:[4, -8],
1.287894165:[4, -8],
1.2880972370000001:[4, -8],
1.288297237:[4, -8],
1.288500519:[4, -8],
1.288719633:[4, -8],
1.288920675:[4, -8],
1.289122967:[4, -8],
1.289324685:[4, -8],
1.2895247890000001:[4, -8],
1.2897249450000001:[4, -8],
1.289925362:[4, -8],
1.2901281230000001:[4, -8],
1.29033182:[4, -11],
1.2905343710000001:[4, -11],
1.290734581:[4, -11],
