pyo_open,dec,weekend,public_hol,school_hol,temp,rain,lines
1,0,0,0,0,011001,0001,0010010110
1,0,0,0,0,011001,0000,0001111000
1,0,0,0,0,100001,0000,0010100010
1,0,0,0,0,010110,0000,0011001110
1,0,1,0,0,010111,0000,0111000111
1,0,1,0,0,010100,0000,0110000100
1,0,0,0,0,010110,0001,0001101100
1,0,0,0,0,010100,0000,0010010001
1,0,0,0,0,011100,0001,0010011100
1,0,0,0,0,011101,0000,0001111011
1,0,0,0,0,011100,0000,0010000101
1,0,1,0,0,011100,0000,0101110001
1,0,1,0,0,100001,0000,0111110100
1,0,0,0,0,100001,0000,0001111111
1,0,0,0,0,100101,0000,0001111100
1,0,0,0,0,010111,0001,0001110001
1,0,0,0,0,010101,0000,0010000110
1,0,0,0,0,010101,0000,0010000101
1,0,1,0,0,010110,0000,0011111010
1,0,1,0,0,011001,0000,0111000011
1,0,0,0,0,011010,0000,0010001111
1,0,0,0,0,011000,0001,0010100011
1,0,0,0,0,010110,1111,0001100010
1,0,0,0,0,010111,0011,0001111010
1,0,0,0,0,010011,0000,0011010101
1,0,1,0,1,010101,0000,0101010011
1,0,1,0,1,010110,0000,0110110100
1,0,0,0,1,010110,0000,0100011010
1,0,0,0,1,010111,0000,0101001010
1,0,0,0,1,011000,0000,0100010010
1,0,0,0,1,011000,0000,0100000001
1,0,0,1,1,010101,0010,0110101011
1,0,1,1,1,010100,0000,0111111101
1,0,1,1,1,010111,0000,0101110110
1,0,0,1,1,011101,0000,1000101010
1,0,0,0,1,010101,0000,0100110111
1,0,0,0,1,010101,0000,0110011110
1,0,0,0,1,010110,0001,0101101101
1,0,0,1,1,010111,0000,0111001110
1,0,1,0,1,010101,0001,0100111011
1,0,1,0,1,010110,0000,0101100111
1,0,0,0,0,011101,0000,0010001001
1,0,0,0,0,010011,1111,0010000001
1,0,0,0,0,010010,0010,0010010010
1,0,0,0,0,010010,0000,0001110010
1,0,0,0,0,001100,1100,0001001111
1,0,1,0,0,010000,1000,0011010110
1,0,1,0,0,010001,0000,0100010110
1,0,0,0,0,010010,0000,0001011000
1,0,0,0,0,010001,0011,0001011110
1,0,0,0,0,010010,0000,0001100000
0,0,0,0,0,010010,0000,0001111100
1,0,0,0,0,001110,0010,0001100110
1,0,1,0,0,010011,1111,0011110110
0,0,1,0,0,010101,0000,0100101000
1,0,0,0,0,010101,0000,0001010000
1,0,0,0,0,010111,0000,0001001101
1,0,0,0,0,011000,0000,0001111110
1,0,0,0,0,011001,0000,0010010010
1,0,0,0,0,011011,0000,0010100010
1,0,1,0,0,011000,0000,0100100010
1,0,1,0,0,011001,0000,0110000011
1,0,0,0,0,010110,0000,0001110001
1,0,0,0,0,011000,0000,0001111010
1,0,0,0,0,011010,0000,0010000000
1,0,0,0,0,011010,0000,0001001001
0,0,0,0,0,010110,0000,0010010010
0,0,1,0,0,011001,0000,0100011011
0,0,1,0,0,011000,0000,0100110101
0,0,0,0,0,010100,0001,0000111100
0,0,0,0,0,010010,1001,0000111010
0,0,0,0,0,010010,0101,0001000110
0,0,0,0,0,010101,0000,0000100100
0,0,0,0,0,010101,0000,0001010100
0,0,1,0,0,001111,0000,0010010110
0,0,1,0,0,010000,0101,0010000000
0,0,0,0,0,010010,0001,0001000111
0,0,0,0,0,010010,0000,0001010110
0,0,0,0,0,010010,0000,0001000101
0,0,0,0,0,010010,0001,0001100001
0,0,0,0,0,010010,0000,0001011001
0,0,1,0,0,010011,0000,0011000001
0,0,1,0,0,010001,0000,0100101010
0,0,0,1,0,001111,0000,0011110100
0,0,0,0,0,010011,0000,0001011110
0,0,0,0,0,010001,0000,0001000010
0,0,0,0,0,010001,0000,0001001001
0,0,0,0,0,001110,0100,0001000110
0,0,1,0,0,001111,0111,0010011011
0,0,1,0,0,010000,0000,0010011010
0,0,0,0,0,010001,0000,0001000010
0,0,0,0,0,001111,0010,0001000111
0,0,0,0,0,010001,0000,0000111111
0,0,0,0,0,010000,0000,0001000001
0,0,0,0,0,010010,0000,0001100000
0,0,1,0,0,010000,1001,0010011001
0,0,1,0,0,010001,0000,0010110001
0,0,0,0,0,001101,1101,0001000011
0,0,0,0,0,010000,1111,0001001100
0,0,0,0,0,010000,0110,0001000001
0,0,0,0,0,010000,0010,0000111000
0,0,0,0,0,010001,0000,0000111011
0,0,1,0,0,001101,1111,0001100100
0,0,1,0,0,001110,0010,0010001001
0,0,0,0,0,001111,0001,0001000001
0,0,0,0,0,010000,0110,0001100100
0,0,0,0,0,010001,0001,0001011001
0,0,0,0,0,010000,0000,0001101001
0,0,0,0,0,010000,0000,0001111110
0,0,1,0,1,001110,0011,0010111101
0,0,1,0,1,010000,1111,0010101000
