condition,message
0100000100,0
0100010000,0
0100010001,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100100000,0
0100000100,1
0100000100,1
0100000010,1
0100100000,1
0100000100,1
0100100000,1
0100100000,1
0100100000,1
0100100000,1
0100010000,1
0100000010,0
0100000010,0
0100000010,0
0100000100,0
0100010000,0
0100010000,0
0100000100,0
0100000100,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100001000,0
0100000100,0
0100010000,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100100000,1
0100100000,1
0100000100,1
0100100000,1
0100010000,1
0100010000,0
0100010000,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100000100,0
0100000100,0
0100000100,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100100000,0
0100100000,0
0100010000,1
0100100000,1
0100100000,1
0100000100,1
0100000100,1
0100000010,1
0100000010,1
0100000100,1
0100100000,1
0100100000,1
0100100000,1
0100010000,1
0100010000,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100010001,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100010000,0
0100000100,0
0100010000,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100100000,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100100000,1
0100010000,1
0100000010,1
0100000100,0
0100000100,0
0100010001,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100010000,0
0100010000,0
0100010000,0
0100010000,0
0100000100,0
0100000100,0
0100000100,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,1
0100100000,1
0100100000,0
0100010000,0
0100010000,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100010000,1
0100000010,1
0100000010,1
0100000010,1
0100000010,1
0100100000,1
0100000100,1
0100100000,1
0100000100,1
0100000100,1
0100010000,1
0100100000,1
0100100000,1
0100010000,1
0100000100,1
0100100000,0
0100100000,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100100000,0
0100100000,1
0100100000,1
0100000010,1
0100100000,1
0100100000,1
0100100000,1
0100000100,1
0100000010,1
0100000010,1
0100100000,1
0100000100,1
0100010000,1
0100010000,0
0100000100,0
0100000100,0
0100000100,0
0100000010,0
0100010000,1
0100100000,1
0100010000,1
0100100000,0
0100010000,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100001000,0
0100001000,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100000100,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100100000,1
0100100000,1
0100010000,1
0100000100,1
0100000100,1
0100100000,1
0100100000,1
0100010000,1
0100000010,1
0100010000,1
0100000010,1
0100010001,0
0100010000,0
0100010000,0
0100010000,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100010000,0
0100010000,0
0100010000,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100100000,1
0100100000,1
0100000010,1
0100100000,0
0100010000,0
0100010000,1
0100000100,1
0100000100,1
0100100000,1
0100100000,1
0100100000,1
0100100000,1
0100100000,1
0100000100,1
0100000010,1
0100100000,1
0100000010,1
0100010000,1
0100000100,1
0100100000,1
0100100000,1
0100000100,1
0100010000,1
0100100000,0
0100100000,0
0100100000,0
0100010000,0
0100010000,0
0100010001,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100001000,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000100,1
0100010000,1
0100100000,1
0100100000,1
0100100000,1
0100100000,1
0100000100,1
0100000010,1
0100100000,1
0100100000,1
0100000100,1
0100000100,1
0100010000,1
0100100000,1
0100000010,1
0100100000,0
0100010000,0
0100010000,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100001000,0
0100001000,0
0100000100,0
0100000100,0
0100010000,0
0100000100,0
0100000100,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100100000,0
0100100000,1
0100000100,1
0100010000,1
0100010000,1
0100100000,1
0100100000,1
0100001000,1
0100001000,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100010000,1
0100010000,0
0100000100,0
0100010000,0
0100010000,0
0100010001,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100000100,0
0100000100,0
